,Codi_expedient,Tipus_accident,Descripcio_causa_mediata
0,2018S000001    ,Abast multiple,Not_Specified
1,2018S000002    ,Col.lisiÃ³ fronto-lateral,Not_Specified
2,2018S000003    ,Abast,Not_Specified
3,2018S000004    ,Xoc contra element estÃ tic,Not_Specified
4,2018S000005    ,Bolcada (mÃ©s de dues rodes),Not_Specified
5,2018S000006    ,Abast,Not_Specified
6,2018S000007    ,Abast,Not_Specified
7,2018S000008    ,Col.lisiÃ³ fronto-lateral,No hi ha causa mediata
8,2018S000009    ,Col.lisiÃ³ lateral,Not_Specified
9,2018S000010    ,Col.lisiÃ³ fronto-lateral,Not_Specified
10,2018S000011    ,Atropellament,Not_Specified
11,2018S000012    ,Atropellament,Not_Specified
12,2018S000013    ,Col.lisiÃ³ lateral,Not_Specified
13,2018S000014    ,Col.lisiÃ³ fronto-lateral,Not_Specified
14,2018S000015    ,Col.lisiÃ³ fronto-lateral,Not_Specified
15,2018S000016    ,Col.lisiÃ³ lateral,Not_Specified
16,2018S000017    ,Col.lisiÃ³ lateral,Not_Specified
17,2018S000018    ,Col.lisiÃ³ fronto-lateral,Not_Specified
18,2018S000019    ,Col.lisiÃ³ lateral,Not_Specified
19,2018S000020    ,Altres,Not_Specified
20,2018S000021    ,Abast,No hi ha causa mediata
21,2018S000022    ,Col.lisiÃ³ fronto-lateral,Not_Specified
22,2018S000023    ,Xoc contra element estÃ tic,Not_Specified
23,2018S000023    ,Caiguda (dues rodes),Not_Specified
24,2018S000024    ,Col.lisiÃ³ lateral,No hi ha causa mediata
25,2018S000025    ,Atropellament,Not_Specified
26,2018S000026    ,Col.lisiÃ³ lateral,No hi ha causa mediata
27,2018S000027    ,Atropellament,Not_Specified
28,2018S000028    ,Col.lisiÃ³ fronto-lateral,Not_Specified
29,2018S000029    ,Col.lisiÃ³ lateral,Not_Specified
30,2018S000030    ,Atropellament,Not_Specified
31,2018S000031    ,Caiguda interior vehicle,No hi ha causa mediata
32,2018S000032    ,Atropellament,Not_Specified
33,2018S000033    ,Col.lisiÃ³ fronto-lateral,Not_Specified
34,2018S000034    ,Abast multiple,Not_Specified
35,2018S000035    ,Col.lisiÃ³ fronto-lateral,Not_Specified
36,2018S000036    ,Abast,Not_Specified
37,2018S000037    ,Col.lisiÃ³ lateral,Not_Specified
38,2018S000038    ,Col.lisiÃ³ lateral,Not_Specified
39,2018S000039    ,Col.lisiÃ³ lateral,Not_Specified
40,2018S000040    ,Abast,No hi ha causa mediata
41,2018S000041    ,Altres,Not_Specified
42,2018S000041    ,Caiguda (dues rodes),Not_Specified
43,2018S000042    ,Atropellament,Not_Specified
44,2018S000043    ,Xoc contra element estÃ tic,Not_Specified
45,2018S000044    ,Atropellament,Not_Specified
46,2018S000045    ,Abast,Not_Specified
47,2018S000046    ,Abast,Not_Specified
48,2018S000047    ,Col.lisiÃ³ lateral,Not_Specified
49,2018S000048    ,Abast,Not_Specified
50,2018S000049    ,Caiguda (dues rodes),Not_Specified
51,2018S000050    ,Abast,No hi ha causa mediata
52,2018S000051    ,Caiguda (dues rodes),Not_Specified
53,2018S000051    ,Abast,Not_Specified
54,2018S000052    ,Col.lisiÃ³ fronto-lateral,Not_Specified
55,2018S000053    ,Abast,Not_Specified
56,2018S000054    ,Col.lisiÃ³ lateral,Not_Specified
57,2018S000055    ,Caiguda (dues rodes),Not_Specified
58,2018S000055    ,Col.lisiÃ³ lateral,Not_Specified
59,2018S000056    ,Abast,Not_Specified
60,2018S000057    ,Abast multiple,Not_Specified
61,2018S000058    ,Abast,Not_Specified
62,2018S000059    ,Atropellament,Not_Specified
63,2018S000060    ,Caiguda (dues rodes),Not_Specified
64,2018S000060    ,Col.lisiÃ³ lateral,Not_Specified
65,2018S000061    ,Col.lisiÃ³ lateral,Not_Specified
66,2018S000062    ,Abast,Not_Specified
67,2018S000063    ,Col.lisiÃ³ lateral,Not_Specified
68,2018S000064    ,Caiguda interior vehicle,Not_Specified
69,2018S000065    ,Col.lisiÃ³ fronto-lateral,Not_Specified
70,2018S000066    ,Caiguda (dues rodes),AlcoholÃ¨mia
71,2018S000067    ,Col.lisiÃ³ fronto-lateral,Not_Specified
72,2018S000068    ,Abast,Not_Specified
73,2018S000069    ,Col.lisiÃ³ lateral,Not_Specified
74,2018S000070    ,Atropellament,No hi ha causa mediata
75,2018S000071    ,Col.lisiÃ³ fronto-lateral,Not_Specified
76,2018S000072    ,Caiguda (dues rodes),Not_Specified
77,2018S000073    ,Atropellament,Not_Specified
78,2018S000074    ,Altres,Not_Specified
79,2018S000075    ,Atropellament,Not_Specified
80,2018S000076    ,Atropellament,No hi ha causa mediata
81,2018S000076    ,Abast,No hi ha causa mediata
82,2018S000077    ,Abast,Not_Specified
83,2018S000078    ,Abast multiple,Not_Specified
84,2018S000079    ,Col.lisiÃ³ lateral,Not_Specified
85,2018S000080    ,Col.lisiÃ³ lateral,Not_Specified
86,2018S000081    ,Col.lisiÃ³ fronto-lateral,Not_Specified
87,2018S000082    ,Col.lisiÃ³ fronto-lateral,Not_Specified
88,2018S000083    ,Caiguda interior vehicle,Not_Specified
89,2018S000084    ,Atropellament,Not_Specified
90,2018S000085    ,Col.lisiÃ³ lateral,Not_Specified
91,2018S000086    ,Col.lisiÃ³ lateral,Not_Specified
92,2018S000087    ,Col.lisiÃ³ fronto-lateral,Not_Specified
93,2018S000088    ,Abast,Not_Specified
94,2018S000089    ,Col.lisiÃ³ frontal,Not_Specified
95,2018S000089    ,Col.lisiÃ³ lateral,Not_Specified
96,2018S000090    ,Caiguda interior vehicle,Not_Specified
97,2018S000091    ,Abast,Not_Specified
98,2018S000092    ,Atropellament,No hi ha causa mediata
99,2018S000093    ,Col.lisiÃ³ lateral,Not_Specified
100,2018S000094    ,Col.lisiÃ³ lateral,Not_Specified
101,2018S000095    ,Atropellament,Estat de la senyalitzaciÃ³
102,2018S000096    ,Col.lisiÃ³ lateral,Not_Specified
103,2018S000097    ,Xoc contra element estÃ tic,Not_Specified
104,2018S000098    ,Abast,Not_Specified
105,2018S000099    ,Col.lisiÃ³ fronto-lateral,Not_Specified
106,2018S000100    ,Col.lisiÃ³ fronto-lateral,No hi ha causa mediata
107,2018S000101    ,Abast,Not_Specified
108,2018S000102    ,Abast,Not_Specified
109,2018S000103    ,Abast,Not_Specified
110,2018S000104    ,Atropellament,Not_Specified
111,2018S000105    ,Altres,Not_Specified
112,2018S000106    ,Col.lisiÃ³ fronto-lateral,Not_Specified
113,2018S000107    ,Col.lisiÃ³ lateral,Not_Specified
114,2018S000108    ,Col.lisiÃ³ fronto-lateral,Not_Specified
115,2018S000109    ,Caiguda interior vehicle,Not_Specified
116,2018S000110    ,Col.lisiÃ³ lateral,Not_Specified
117,2018S000111    ,Xoc contra element estÃ tic,Not_Specified
118,2018S000112    ,Atropellament,Not_Specified
119,2018S000113    ,Col.lisiÃ³ fronto-lateral,Not_Specified
120,2018S000114    ,Xoc contra element estÃ tic,Not_Specified
121,2018S000115    ,Xoc contra element estÃ tic,Not_Specified
122,2018S000116    ,Xoc contra element estÃ tic,Not_Specified
123,2018S000117    ,Atropellament,Not_Specified
