,District Name,Weekday,Month,Day,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved
0,Ciutat Vella,Friday,June,23,Night,1,0,1,1
1,Eixample,Friday,June,23,Morning,1,0,1,2
2,Eixample,Friday,June,23,Morning,1,0,1,2
3,Eixample,Friday,June,23,Afternoon,1,0,1,2
4,Sants-Montjuïc,Friday,June,23,Afternoon,2,0,2,1
5,Les Corts,Friday,June,23,Afternoon,1,0,1,2
6,Les Corts,Friday,June,23,Afternoon,1,0,1,3
7,Nou Barris,Saturday,June,24,Afternoon,1,0,1,2
8,Eixample,Friday,June,23,Morning,1,0,1,2
9,Eixample,Friday,June,23,Afternoon,1,0,1,2
10,Eixample,Friday,June,23,Morning,1,0,1,2
11,Eixample,Saturday,June,24,Night,1,0,1,2
12,Sant Andreu,Friday,June,23,Night,1,0,1,2
13,Sant Andreu,Friday,June,23,Afternoon,1,0,1,2
14,Sant Andreu,Friday,June,23,Afternoon,1,0,1,2
15,Sant Martí,Friday,June,23,Night,1,0,1,1
16,Eixample,Friday,June,23,Afternoon,1,0,1,2
17,Eixample,Friday,June,23,Afternoon,0,0,0,2
18,Eixample,Friday,June,23,Morning,1,0,1,1
19,Eixample,Friday,June,23,Night,0,0,0,1
20,Eixample,Friday,June,23,Morning,1,0,1,1
21,Sant Andreu,Friday,June,23,Morning,1,0,1,2
22,Ciutat Vella,Saturday,June,24,Night,0,0,0,1
23,Les Corts,Friday,June,23,Morning,1,0,1,2
24,Horta-Guinardó,Friday,June,23,Afternoon,2,0,2,4
25,Ciutat Vella,Friday,June,23,Afternoon,1,0,1,1
26,Sarrià-Sant Gervasi,Friday,June,23,Afternoon,1,0,1,2
27,Eixample,Friday,June,23,Afternoon,1,0,1,2
28,Sants-Montjuïc,Saturday,June,24,Morning,1,0,1,2
29,Sarrià-Sant Gervasi,Friday,June,23,Night,1,0,1,2
30,Sant Martí,Friday,June,23,Afternoon,1,0,1,2
31,Sant Martí,Saturday,June,24,Afternoon,1,0,1,2
32,Ciutat Vella,Saturday,June,24,Afternoon,1,0,1,2
33,Eixample,Saturday,June,24,Afternoon,0,0,0,2
34,Gràcia,Friday,June,23,Afternoon,1,0,1,2
35,Eixample,Friday,June,23,Afternoon,1,0,1,2
36,Sants-Montjuïc,Friday,June,23,Morning,1,0,1,2
37,Sarrià-Sant Gervasi,Saturday,June,24,Night,4,0,4,2
38,Sant Martí,Sunday,September,24,Morning,1,0,1,4
39,Sant Martí,Sunday,September,24,Night,1,0,1,1
40,Ciutat Vella,Monday,September,25,Afternoon,1,0,1,3
41,Eixample,Saturday,September,23,Night,2,0,2,2
42,Eixample,Sunday,September,24,Afternoon,0,0,0,1
43,Eixample,Friday,September,22,Morning,1,0,1,2
44,Sants-Montjuïc,Friday,September,22,Afternoon,2,0,2,2
45,Les Corts,Friday,September,22,Morning,2,0,2,2
46,Gràcia,Sunday,September,24,Afternoon,1,0,1,1
47,Gràcia,Monday,September,25,Afternoon,2,0,2,2
48,Gràcia,Friday,September,22,Afternoon,0,0,0,1
49,Gràcia,Sunday,September,24,Afternoon,1,0,1,2
50,Nou Barris,Monday,September,25,Morning,0,0,0,1
51,Unknown,Sunday,September,24,Morning,2,0,2,2
52,Sant Martí,Friday,September,22,Night,0,0,0,4
53,Sant Martí,Friday,September,22,Night,0,0,0,1
54,Eixample,Friday,September,22,Morning,1,0,1,2
55,Eixample,Sunday,September,24,Morning,1,0,1,2
56,Sants-Montjuïc,Saturday,September,23,Afternoon,4,0,4,6
57,Horta-Guinardó,Friday,September,22,Afternoon,1,0,1,3
58,Nou Barris,Friday,September,22,Afternoon,1,0,1,2
59,Sant Martí,Friday,September,22,Morning,1,0,1,2
60,Ciutat Vella,Monday,September,25,Night,1,0,1,3
61,Ciutat Vella,Saturday,September,23,Afternoon,1,0,1,2
62,Eixample,Monday,September,25,Morning,1,0,1,2
